period,att_pi,out_pi,att_y,out_y,att_fs,att_unc
2012Q3,0.3888888888888889,0.0,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.2777777777777778
2012Q4,0.4722222222222222,-0.058823529411764705,0.7777777777777778,0.03571428571428571,0.7777777777777778,0.3888888888888889
2013Q1,0.5862068965517241,0.11764705882352941,0.6551724137931034,0.3157894736842105,0.7586206896551724,0.4482758620689655
2013Q2,0.5238095238095238,-0.3181818181818182,0.9285714285714286,0.3076923076923077,0.8571428571428571,0.47619047619047616
2013Q3,0.4074074074074074,-0.6363636363636364,0.7407407407407407,0.2,0.8518518518518519,0.6296296296296297
2013Q4,0.5128205128205128,-0.5,0.8717948717948718,0.5588235294117647,0.8717948717948718,0.5897435897435898
2014Q1,0.42857142857142855,-0.2222222222222222,0.8095238095238095,0.6470588235294118,0.8571428571428571,0.5238095238095238
2014Q2,0.5625,-0.2222222222222222,0.875,0.4642857142857143,0.84375,0.5625
2014Q3,0.7391304347826086,-0.29411764705882354,0.9130434782608695,0.09523809523809523,0.8695652173913043,0.6956521739130435
2014Q4,0.5862068965517241,-0.11764705882352941,0.896551724137931,0.6153846153846154,0.7931034482758621,0.6206896551724138
2015Q1,0.6666666666666666,-0.3333333333333333,0.7777777777777778,0.35714285714285715,0.7222222222222222,0.4444444444444444
2015Q2,0.72,-0.4444444444444444,0.92,0.6521739130434783,0.76,0.6
2015Q3,0.625,-0.1,0.75,0.3333333333333333,0.8125,0.4375
2015Q4,0.45,-0.3888888888888889,0.775,0.25806451612903225,0.65,0.525
2016Q1,0.4782608695652174,-0.45454545454545453,0.782608695652174,0.2222222222222222,0.7391304347826086,0.8260869565217391
2016Q2,0.5806451612903226,-0.1111111111111111,0.8709677419354839,0.3333333333333333,0.6451612903225806,0.5806451612903226
2016Q3,0.45,-0.4444444444444444,0.9,0.3888888888888889,0.9,0.45
2016Q4,0.7142857142857143,-0.12,0.9142857142857143,0.40625,0.8285714285714286,0.7428571428571429
2017Q1,0.5,0.11764705882352941,0.7647058823529411,0.19230769230769232,0.6470588235294118,0.5294117647058824
2017Q2,0.5238095238095238,-0.09090909090909091,0.8809523809523809,0.8108108108108109,0.7857142857142857,0.7380952380952381
2017Q3,0.6206896551724138,0.0,0.896551724137931,0.5,0.5862068965517241,0.6551724137931034
2017Q4,0.6111111111111112,0.0,0.9444444444444444,0.6470588235294118,0.7777777777777778,0.6388888888888888
2018Q1,0.5,0.5,0.6785714285714286,0.5263157894736842,0.7857142857142857,0.6428571428571429
2018Q2,0.75,0.38095238095238093,0.8214285714285714,0.34782608695652173,0.75,0.6785714285714286
2018Q3,0.55,0.8181818181818182,0.8,0.5625,0.7,0.7
2018Q4,0.5277777777777778,0.47368421052631576,0.8333333333333334,0.6333333333333333,0.7222222222222222,0.75
2019Q1,0.5333333333333333,-0.25,0.9,0.2962962962962963,0.7,0.5666666666666667
2019Q2,0.38461538461538464,0.1,0.8461538461538461,0.36363636363636365,0.8076923076923077,0.7692307692307693
2019Q3,0.5882352941176471,-0.2,0.9411764705882353,0.0625,0.7058823529411765,0.7058823529411765
2019Q4,0.5151515151515151,-0.23529411764705882,0.8787878787878788,0.3448275862068966,0.6363636363636364,0.7272727272727273
2020Q1,0.65,0.23076923076923078,0.95,0.2631578947368421,0.7,0.75
2020Q2,0.8,-0.5,1.0,0.6666666666666666,0.8666666666666667,0.9333333333333333
2020Q3,0.6,0.25,0.85,0.6470588235294118,0.75,0.8
2020Q4,0.4444444444444444,-0.16666666666666666,0.8888888888888888,0.5416666666666666,0.7407407407407407,0.8148148148148148
